Senddate,Hours,Solar energy Generation  (kWh),consumptionValue (kW),Device_1_Consumption (kW),Device_2_Consumption (kW),Device_3_Consumption (kW),Device_4_Consumption (kW),TOU_rates (INR),Predicted Solar energy Generation (kWh),Predicted TOU_rates (INR),Cummulative Energy Consumption
01-07-2024,00:03,0,0.37,0.103,0.051,0.01,0.184,10,0,10,0.37
01-07-2024,00:07,0,0.39,0.071,0,0.062,0.058,10,0,10,0.76
01-07-2024,00:13,0,0.37,0.127,0.005,0.004,0.016,10,0,10,1.13
01-07-2024,00:19,0,0.38,0.121,0.195,0.231,0.038,10,0,10,1.51
01-07-2024,00:24,0,0.38,0.005,0.137,0.078,0.146,10,0,10,1.89
01-07-2024,00:30,0,0.37,0.016,0.033,0.046,0.052,10,0,10,2.26
01-07-2024,00:35,0,0.37,0.232,0.106,0.082,0.107,10,0,10,2.63
01-07-2024,00:40,0,0.37,0.233,0.132,0.091,0.037,10,0,10,3
01-07-2024,00:46,0,0.36,0.01,0.116,0.139,0.251,10,0,10,3.36
01-07-2024,00:51,0,0.38,0.011,0.205,0.085,0.09,10,0,10,3.74
01-07-2024,00:56,0,0.37,0.102,0.236,0.132,0.03,10,0,10,4.11
01-07-2024,01:01,0,0.37,0.066,0.165,0.178,0.101,10,0,10,4.48
01-07-2024,01:07,0,0.37,0.037,0.026,0.008,0.09,10,0,10,4.85
01-07-2024,01:12,0,0.37,0.039,0.083,0,0.041,10,0,10,5.22
01-07-2024,01:17,0,0.37,0.27,0.121,0.049,0.072,10,0,10,5.59
01-07-2024,01:23,0,0.37,0.046,0.122,0.043,0.192,10,0,10,5.96
01-07-2024,01:28,0,0.36,0.076,0.204,0.015,0.141,10,0,10,6.32
01-07-2024,01:33,0,0.35,0.167,0.05,0.008,0.152,10,0,10,6.67
01-07-2024,01:39,0,0.34,0.121,0.047,0.006,0.182,10,0,10,7.01
01-07-2024,01:44,0,0.35,0.02,0.12,0.075,0.083,10,0,10,7.36
01-07-2024,01:49,0,0.34,0.174,0.068,0.053,0.07,10,0,10,7.7
01-07-2024,01:54,0,0.34,0.076,0.085,0.114,0.007,10,0,10,8.04
01-07-2024,01:59,0,0.35,0.144,0.212,0.02,0.084,10,0,10,8.39
01-07-2024,02:05,0,0.34,0.14,0.008,0.059,0.001,10,0,10,8.73
01-07-2024,02:10,0,0.34,0.032,0.028,0.026,0.224,10,0,10,9.07
01-07-2024,02:15,0,0.35,0.261,0.222,0.191,0.076,10,0,10,9.42
01-07-2024,02:20,0,0.34,0.008,0.01,0.125,0.151,10,0,10,9.76
01-07-2024,02:26,0,0.35,0.045,0.117,0.006,0.011,10,0,10,10.11
01-07-2024,02:31,0,0.35,0.189,0.051,0.003,0.062,10,0,10,10.46
01-07-2024,02:36,0,0.35,0.142,0.122,0.119,0.024,10,0,10,10.81
01-07-2024,02:42,0,0.34,0.083,0.212,0.148,0.013,10,0,10,11.15
01-07-2024,02:48,-0.1,,,,,,10,-0.1,10,11.15
01-07-2024,02:52,0,0.34,0.023,0.01,0.05,0.078,10,0,10,11.49
01-07-2024,02:57,0,0.35,0.106,0.036,0.209,0.073,10,0,10,11.84
01-07-2024,03:03,0,0.37,0.083,0.22,0.098,0.089,10,0,10,12.21
01-07-2024,03:08,0,0.38,0.015,0.06,0.089,0.052,10,0,10,12.59
01-07-2024,03:13,0,0.38,0.11,0.017,0.166,0.04,10,0,10,12.97
01-07-2024,03:19,0,0.38,0.098,0.027,0.013,0.114,10,0,10,13.35
01-07-2024,03:26,0,0.39,0.053,0.05,0,0.12,10,0,10,13.74
01-07-2024,03:30,0,0.35,0.018,0.015,0.059,0.096,10,0,10,14.09
01-07-2024,03:35,0,0.35,0.026,0.009,0.071,0.086,10,0,10,14.44
01-07-2024,03:40,0,0.36,0.134,0.201,0.054,0.232,10,0,10,14.8
01-07-2024,03:45,0,0.37,0.114,0.189,0.09,0.022,10,0,10,15.17
01-07-2024,03:51,0,0.36,0.119,0.079,0.062,0.062,10,0,10,15.53
01-07-2024,03:56,0,0.35,0.018,0.305,0.076,0.232,10,0,10,15.88
01-07-2024,04:01,0,0.36,0.066,0.082,0.105,0.078,19.29775281,0,19.29775281,16.24
01-07-2024,04:06,0,0.35,0.047,0.054,0.03,0.077,19.29775281,0,19.29775281,16.59
01-07-2024,04:11,0,0.35,0.059,0.056,0.063,0.043,19.29775281,0,19.29775281,16.94
01-07-2024,04:16,0,0.35,0.07,0.003,0.055,0.135,19.29775281,0,19.29775281,17.29
01-07-2024,04:23,0,0.35,0.007,0.176,0.182,0.027,19.29775281,0,19.29775281,17.64
01-07-2024,04:28,0,0.37,0.219,0.194,0.05,0.326,19.29775281,0,19.29775281,18.01
01-07-2024,04:33,0,0.35,0.141,0.079,0.215,0.03,19.29775281,0,19.29775281,18.36
01-07-2024,04:39,0,0.35,0.067,0.02,0.037,0.022,19.29775281,0,19.29775281,18.71
01-07-2024,04:44,0,0.35,0.171,0.164,0.067,0.014,19.29775281,0,19.29775281,19.06
01-07-2024,04:49,0,0.34,0.011,0.047,0.066,0.001,19.29775281,0,19.29775281,19.4
01-07-2024,04:54,0,0.35,0.021,0.16,0.053,0.003,19.29775281,0,19.29775281,19.75
01-07-2024,05:00,0,0.35,0.147,0.002,0.048,0.027,19.29775281,0,19.29775281,20.1
01-07-2024,05:05,0,0.36,0.069,0.173,0.1,0.116,19.29775281,0,19.29775281,20.46
01-07-2024,05:10,0,0.36,0.002,0.005,0.105,0.02,19.29775281,0,19.29775281,20.82
01-07-2024,05:16,0,0.35,0.005,0.111,0.057,0.063,19.29775281,0,19.29775281,21.17
01-07-2024,05:21,0,0.39,0.024,0.11,0.172,0.154,19.29775281,0,19.29775281,21.56
01-07-2024,05:27,0,0.35,0.006,0.012,0.039,0.142,19.29775281,0,19.29775281,21.91
01-07-2024,05:32,0,0.35,0.046,0.018,0.125,0.127,24.41011236,0,24.41011236,22.26
01-07-2024,05:38,0,0.36,0.091,0.084,0.209,0.027,24.41011236,0,24.41011236,22.62
01-07-2024,05:43,0,0.36,0.163,0.071,0.092,0.075,24.41011236,0,24.41011236,22.98
01-07-2024,05:48,0,0.37,0.305,0.245,0.23,0.003,24.41011236,0,24.41011236,23.35
01-07-2024,05:54,0,0.37,0.062,0.025,0.236,0.122,24.41011236,0,24.41011236,23.72
01-07-2024,05:56,0,0.37,0.07,0.081,0.134,0.082,24.41011236,0,24.41011236,24.09
01-07-2024,05:58,-0.1,,,,,,24.41011236,-0.1,24.41011236,24.09
01-07-2024,05:59,0,0.39,0.044,0.004,0.082,0.308,24.41011236,0,24.41011236,24.48
01-07-2024,06:01,0,0.4,0.113,0.044,0.003,0.087,19.29775281,0,19.29775281,24.88
01-07-2024,06:04,0,0.39,0.133,0.083,0.213,0.023,19.29775281,0,19.29775281,25.27
01-07-2024,06:05,0,0.4,0.135,0.101,0.13,0.011,19.29775281,0,19.29775281,25.67
01-07-2024,06:06,-0.1,,,,,,19.29775281,-0.1,19.29775281,25.67
01-07-2024,06:12,0,0.38,0.004,0.106,0.025,0.22,19.29775281,0,19.29775281,26.05
01-07-2024,06:15,0,0.41,0.089,0.036,0.095,0.025,19.29775281,0,19.29775281,26.46
01-07-2024,06:18,0,0.4,0.177,0.201,0.155,0.025,19.29775281,0,19.29775281,26.86
01-07-2024,06:19,-0.1,,,,,,19.29775281,-0.1,19.29775281,26.86
01-07-2024,06:20,0,0.4,0.13,0.071,0.082,0.11,19.29775281,0,19.29775281,27.26
01-07-2024,06:22,-0.1,,,,,,19.29775281,-0.1,19.29775281,27.26
01-07-2024,06:25,-0.1,,,,,,19.29775281,-0.1,19.29775281,27.26
01-07-2024,06:27,-0.1,,,,,,19.29775281,-0.1,19.29775281,27.26
01-07-2024,06:28,0,0.4,0.051,0.296,0.008,0.009,19.29775281,0,19.29775281,27.66
01-07-2024,06:29,0,0.4,0.16,0.04,0.276,0.172,19.29775281,0,19.29775281,28.06
01-07-2024,06:31,-0.1,,,,,,19.29775281,-0.1,19.29775281,28.06
01-07-2024,06:32,0,0.4,0.039,0.094,0.057,0.093,19.29775281,0,19.29775281,28.46
01-07-2024,06:33,0,0.41,0.036,0.058,0.173,0.026,19.29775281,0,19.29775281,28.87
01-07-2024,06:37,-0.1,,,,,,19.29775281,-0.1,19.29775281,28.87
01-07-2024,06:38,0,0.4,0.005,0.132,0.283,0.004,19.29775281,0,19.29775281,29.27
01-07-2024,06:39,0,0.39,0.111,0.094,0.045,0.09,19.29775281,0,19.29775281,29.66
01-07-2024,06:42,0,0.38,0.166,0.214,0.166,0.038,19.29775281,0,19.29775281,30.04
01-07-2024,06:44,0.1,0.4,0.057,0.107,0.221,0,19.29775281,0.1,19.29775281,30.44
01-07-2024,06:46,-0.1,,,,,,19.29775281,-0.1,19.29775281,30.44
01-07-2024,06:48,-0.1,,,,,,19.29775281,-0.1,19.29775281,30.44
01-07-2024,06:50,0.1,0.4,0.124,0.112,0.014,0.037,19.29775281,0.1,19.29775281,30.84
01-07-2024,06:51,0.1,0.4,0.104,0.124,0.155,0.222,19.29775281,0.1,19.29775281,31.24
01-07-2024,06:54,0.1,0.38,0.025,0.135,0.019,0.119,19.29775281,0.1,19.29775281,31.62
01-07-2024,06:55,0.1,0.4,0.079,0.29,0.056,0.045,19.29775281,0.1,19.29775281,32.02
01-07-2024,06:56,0.1,0.37,0.098,0.018,0.079,0.117,19.29775281,0.1,19.29775281,32.39
01-07-2024,07:00,0.1,0.38,0.05,0.084,0.015,0.083,19.29775281,0.1,19.29775281,32.77
01-07-2024,07:01,0.1,0.38,0.004,0.049,0.032,0.106,19.29775281,0.1,19.29775281,33.15
01-07-2024,07:02,-0.1,,,,,,19.29775281,-0.1,19.29775281,33.15
01-07-2024,07:03,0.1,0.4,0.008,0.088,0.114,0.002,19.29775281,0.1,19.29775281,33.55
01-07-2024,07:05,-0.1,,,,,,19.29775281,-0.1,19.29775281,33.55
01-07-2024,07:09,-0.1,,,,,,19.29775281,-0.1,19.29775281,33.55
01-07-2024,07:10,0.1,0.38,0.038,0.233,0.216,0.078,19.29775281,0.1,19.29775281,33.93
01-07-2024,07:11,0.1,0.39,0.109,0.034,0.077,0.047,19.29775281,0.1,19.29775281,34.32
01-07-2024,07:14,-0.1,,,,,,19.29775281,-0.1,19.29775281,34.32
01-07-2024,07:15,0.1,0.38,0.028,0.081,0.089,0.023,19.29775281,0.1,19.29775281,34.7
01-07-2024,07:17,0.1,0.38,0.235,0.11,0.033,0.145,19.29775281,0.1,19.29775281,35.08
01-07-2024,07:18,0.1,0.38,0.07,0.248,0.067,0.089,19.29775281,0.1,19.29775281,35.46
01-07-2024,07:19,0.1,0.38,0.08,0.177,0.003,0.239,19.29775281,0.1,19.29775281,35.84
01-07-2024,07:23,0.1,0.38,0.193,0.057,0.097,0.197,19.29775281,0.1,19.29775281,36.22
01-07-2024,07:25,0.1,0.38,0.147,0.168,0.041,0.16,19.29775281,0.1,19.29775281,36.6
01-07-2024,07:26,0.1,0.39,0.099,0.018,0.239,0.101,19.29775281,0.1,19.29775281,36.99
01-07-2024,07:27,0.1,0.39,0.063,0.266,0.117,0.068,19.29775281,0.1,19.29775281,37.38
01-07-2024,07:28,0.1,0.38,0.006,0.165,0.063,0.259,19.29775281,0.1,19.29775281,37.76
01-07-2024,07:32,0.1,0.44,0.113,0.038,0.177,0.001,19.29775281,0.1,19.29775281,38.2
01-07-2024,07:33,0.2,0.38,0.148,0.122,0.048,0.013,19.29775281,0.2,19.29775281,38.58
01-07-2024,07:35,-0.1,,,,,,19.29775281,-0.1,19.29775281,38.58
01-07-2024,07:36,0.2,0.38,0.211,0.193,0.063,0.016,19.29775281,0.2,19.29775281,38.96
01-07-2024,07:38,0.2,0.37,0.156,0.072,0.071,0.064,19.29775281,0.2,19.29775281,39.33
01-07-2024,07:39,-0.1,,,,,,19.29775281,-0.1,19.29775281,39.33
01-07-2024,07:41,0.2,0.38,0.003,0.003,0.145,0.004,19.29775281,0.2,19.29775281,39.71
01-07-2024,07:43,0.2,0.39,0.05,0.109,0.024,0.064,19.29775281,0.2,19.29775281,40.1
01-07-2024,07:45,-0.1,,,,,,19.29775281,-0.1,19.29775281,40.1
01-07-2024,07:46,0.2,0.38,0.026,0.017,0.008,0.075,19.29775281,0.2,19.29775281,40.48
01-07-2024,07:49,0.2,0.38,0.041,0.076,0.062,0.009,19.29775281,0.2,19.29775281,40.86
01-07-2024,07:51,0.2,0.38,0.223,0.004,0.001,0,19.29775281,0.2,19.29775281,41.24
01-07-2024,07:52,0.2,0.38,0.047,0.156,0.072,0.031,19.29775281,0.2,19.29775281,41.62
01-07-2024,07:55,0.2,0.4,0.033,0.076,0.279,0.013,19.29775281,0.2,19.29775281,42.02
01-07-2024,07:56,0.2,0.4,0.021,0.113,0.121,0.288,19.29775281,0.2,19.29775281,42.42
01-07-2024,07:57,0.2,0.4,0.143,0.048,0.054,0.009,19.29775281,0.2,19.29775281,42.82
01-07-2024,07:59,0.2,0.39,0.32,0.145,0.109,0.16,19.29775281,0.2,19.29775281,43.21
01-07-2024,08:00,0.2,0.41,0.02,0.086,0.004,0.044,24.41011236,0.2,24.41011236,43.62
01-07-2024,08:03,-0.1,,,,,,24.41011236,-0.1,24.41011236,43.62
01-07-2024,08:05,-0.1,,,,,,24.41011236,-0.1,24.41011236,43.62
01-07-2024,08:07,-0.1,,,,,,24.41011236,-0.1,24.41011236,43.62
01-07-2024,08:11,-0.1,,,,,,24.41011236,-0.1,24.41011236,43.62
01-07-2024,08:12,0.2,0.41,0.131,0.136,0.333,0.073,24.41011236,0.2,24.41011236,44.03
01-07-2024,08:13,0.2,0.42,0.035,0.083,0.137,0.209,24.41011236,0.2,24.41011236,44.45
01-07-2024,08:16,0.2,0.39,0.158,0.168,0.02,0.023,24.41011236,0.2,24.41011236,44.84
01-07-2024,08:17,0.2,0.41,0.12,0.025,0.138,0.249,24.41011236,0.2,24.41011236,45.25
01-07-2024,08:18,0.2,0.4,0.098,0.021,0.202,0.066,24.41011236,0.2,24.41011236,45.65
01-07-2024,08:20,0.2,0.4,0.115,0.172,0.089,0.218,24.41011236,0.2,24.41011236,46.05
01-07-2024,08:22,-0.1,,,,,,24.41011236,-0.1,24.41011236,46.05
01-07-2024,08:23,0.3,0.4,0.029,0.108,0.01,0.213,24.41011236,0.3,24.41011236,46.45
01-07-2024,08:24,-0.1,,,,,,24.41011236,-0.1,24.41011236,46.45
01-07-2024,08:26,-0.1,,,,,,24.41011236,-0.1,24.41011236,46.45
01-07-2024,08:28,-0.1,,,,,,24.41011236,-0.1,24.41011236,46.45
01-07-2024,08:29,0.3,0.4,0.082,0.002,0.092,0.033,24.41011236,0.3,24.41011236,46.85
