SendDate,Solar Power (kW),Solar energy Generation  (kWh),consumptionValue (kW)
07-01-2024 00:03,144,0,0.37
07-01-2024 00:07,144,0,0.39
07-01-2024 00:13,144,0,0.37
07-01-2024 00:19,144,0,0.38
07-01-2024 00:24,144,0,0.38
07-01-2024 00:30,144,0,0.37
07-01-2024 00:35,144,0,0.37
07-01-2024 00:40,144,0,0.37
07-01-2024 00:46,144,0,0.36
07-01-2024 00:51,144,0,0.38
07-01-2024 00:56,144,0,0.37
07-01-2024 01:01,144,0,0.37
07-01-2024 01:07,144,0,0.37
07-01-2024 01:12,144,0,0.37
07-01-2024 01:17,144,0,0.37
07-01-2024 01:23,144,0,0.37
07-01-2024 01:28,144,0,0.36
07-01-2024 01:33,144,0,0.35
07-01-2024 01:39,144,0,0.34
07-01-2024 01:44,144,0,0.35
07-01-2024 01:49,144,0,0.34
07-01-2024 01:54,144,0,0.34
07-01-2024 01:59,144,0,0.35
07-01-2024 02:05,144,0,0.34
07-01-2024 02:10,144,0,0.34
07-01-2024 02:15,144,0,0.35
07-01-2024 02:20,144,0,0.34
07-01-2024 02:26,144,0,0.35
07-01-2024 02:31,144,0,0.35
07-01-2024 02:36,144,0,0.35
07-01-2024 02:42,144,0,0.34
07-01-2024 02:48,144,-0.1,
07-01-2024 02:52,144,0,0.34
07-01-2024 02:57,144,0,0.35
07-01-2024 03:03,144,0,0.37
07-01-2024 03:08,144,0,0.38
07-01-2024 03:13,144,0,0.38
07-01-2024 03:19,144,0,0.38
07-01-2024 03:26,144,0,0.39
07-01-2024 03:30,144,0,0.35
07-01-2024 03:35,144,0,0.35
07-01-2024 03:40,144,0,0.36
07-01-2024 03:45,144,0,0.37
07-01-2024 03:51,144,0,0.36
07-01-2024 03:56,144,0,0.35
07-01-2024 04:01,144,0,0.36
07-01-2024 04:06,144,0,0.35
07-01-2024 04:11,144,0,0.35
07-01-2024 04:16,144,0,0.35
07-01-2024 04:23,144,0,0.35
07-01-2024 04:28,144,0,0.37
07-01-2024 04:33,144,0,0.35
07-01-2024 04:39,144,0,0.35
07-01-2024 04:44,144,0,0.35
07-01-2024 04:49,144,0,0.34
07-01-2024 04:54,144,0,0.35
07-01-2024 05:00,144,0,0.35
07-01-2024 05:05,144,0,0.36
07-01-2024 05:10,144,0,0.36
07-01-2024 05:16,144,0,0.35
07-01-2024 05:21,144,0,0.39
07-01-2024 05:27,144,0,0.35
07-01-2024 05:32,144,0,0.35
07-01-2024 05:38,144,0,0.36
07-01-2024 05:43,144,0,0.36
07-01-2024 05:48,144,0,0.37
07-01-2024 05:54,144,0,0.37
07-01-2024 05:56,144,0,0.37
07-01-2024 05:58,144,-0.1,
07-01-2024 05:59,147,0,0.39
07-01-2024 06:01,143,0,0.4
07-01-2024 06:04,148,0,0.39
07-01-2024 06:05,149,0,0.4
07-01-2024 06:06,145,-0.1,
07-01-2024 06:12,150,0,0.38
07-01-2024 06:15,223,0,0.41
07-01-2024 06:18,154,0,0.4
07-01-2024 06:19,151,-0.1,
07-01-2024 06:20,150,0,0.4
07-01-2024 06:22,150,-0.1,
07-01-2024 06:25,149,-0.1,
07-01-2024 06:27,152,-0.1,
07-01-2024 06:28,152,0,0.4
07-01-2024 06:29,152,0,0.4
07-01-2024 06:31,150,-0.1,
07-01-2024 06:32,153,0,0.4
07-01-2024 06:33,152,0,0.41
07-01-2024 06:37,153,-0.1,
07-01-2024 06:38,155,0,0.4
07-01-2024 06:39,154,0,0.39
07-01-2024 06:42,155,0,0.38
